景点名称;地点;景点级别;热度;口碑;标签;评论
珠穆朗玛峰国家级自然保护区;定日;4A;4.4;#;登山爱好者的理想选择,登高爬山;34条点评
318国道5000km纪念碑;拉孜;#;4.4;#;距离上海人民广场的整整5000公里;11条点评
尼洋河风光带;林芝;#;4.4;#;尼洋河美景，水量充沛，植被丰富,自然山水;22条点评
阿里暗夜公园;噶尔;#;4.3;#;天文爱好者观测的好去处,公园&植物园;20条点评
林芝赏桃花;林芝·西藏;#;4.3;#;#;#
吉隆沟;吉隆;#;4.3;#;雪山、牧场、梯田美不胜收,自然山水;35条点评
拉萨藏戏表演;拉萨·西藏;#;4.3;拉萨特色体验榜 No.2;#;#
希夏邦马峰;聂拉木;#;4.3;#;欣赏美丽的冰晶园林,登高爬山;44条点评
珠峰大本营绒布寺;定日;#;4.3;#;属藏传佛教宁玛派寺庙,历史建筑;100条点评
雍布拉康;山南;#;4.3;#;寺院居高临下，视野开阔,历史建筑;98条点评
盐井千年古盐田;芒康;4A;4.3;#;观赏手工制盐的全过程,历史建筑;57条点评
林芝骑马;林芝·西藏;#;4.3;#;#;#
南迦巴瓦峰观景台;米林;#;4.3;#;地标观景;5条点评
青藏铁路;拉萨;#;4.3;#;城市漫步;10条点评
南迦巴瓦峰大本营露营地;米林;#;4.2;#;南迦巴瓦峰脚下的营地,露营·营地;5条点评
色季拉山观景台;林芝;#;4.2;#;#;3条点评
强巴林寺;昌都;#;4.2;#;佛教场所，佛像壁画众多,历史建筑;74条点评
林拉公路;工布江达;#;4.2;#;城市漫步;1条点评
拉萨赏桃花;拉萨·西藏;#;4.2;#;#;#
卡定沟天佛瀑布;林芝;#;4.2;#;瀑布后的岩壁有尊天然佛像,避暑纳凉;103条点评
满拉水库;江孜;#;4.2;#;避暑纳凉;64条点评
巴木错;班戈;#;4.2;#;自然山水;8条点评
拉昂错;普兰;#;4.2;#;鸟类的天堂,自然山水;78条点评
大昭寺广场;拉萨 · 八廓街/大昭寺及附近地区;#;4.2;#;众多虔诚的朝拜者聚集于此,地标观景;178条点评
雅隆冰川;八宿;#;4.2;#;#;1条点评
南伊沟;米林;4A;4.2;#;峡谷深40多公里,避暑纳凉;246条点评
纳木错;芒康;#;4.2;#;#;1条点评
白宫;拉萨 · 布达拉宫/太阳岛及附近地区;#;4.2;#;达赖喇嘛的冬宫,历史建筑;78条点评
林芝热气球体验;米林·林芝;#;4.2;#;#;#
鲁日拉观景台;浪卡子;#;4.1;#;地标观景;3条点评
贡德林草原;桑日;#;4.1;#;草原采风;6条点评
念青唐古拉山;当雄;#;4.1;#;高海拔山川，长江的发源地,登高爬山;17条点评
雅江河谷观景台;贡嘎;#;4.1;#;地标观景;1条点评
怒江72拐;八宿;#;4.1;#;道路狭窄、坡道陡峭,城市漫步;121条点评
达古峡谷风景区;桑日;#;4.1;#;观赏珍贵的野生动物,自然山水;7条点评
曲登尼玛冰川;岗巴;#;4.1;#;登高爬山;10条点评
尼洋河;工布江达;#;4.1;工布江达玩水避暑榜 No.1;沿途有高山峡谷和巨石景观,避暑纳凉;228条点评
日喀则博物馆;日喀则;#;4.1;#;博物馆;9条点评
西藏百万农奴解放纪念馆;拉萨 · 罗布林卡及附近地区;#;4.1;#;#;2条点评
日弄巴冰川;八宿;#;4.1;#;地球上少有的中低纬度海洋性现代山岳,自然山水;12条点评
仁青崩寺;墨脱;#;4.1;#;看镀金铜佛像，品古老文化,历史建筑;26条点评
墨脱门珞历史文化遗产博物馆;墨脱;#;4.1;#;博物馆;4条点评
塔钦;普兰;#;4.0;#;阿里转山的起点和终点;31条点评
三色湖;边坝;#;4.0;#;自然山水;14条点评
念青唐古拉山脉;当雄;#;4.0;#;登高爬山;3条点评
雪城;拉萨 · 布达拉宫/太阳岛及附近地区;#;4.0;#;布达拉宫山下的古建筑群,历史建筑;28条点评
林则精灵谷;工布江达;4A;4.0;#;精灵之谷,避暑纳凉;27条点评
墨脱县海市蜃楼观景台;墨脱;#;4.0;#;#;1条点评
墨脱解放大桥;墨脱;#;4.0;#;地标观景;22条点评
林芝看云海;米林·林芝;#;4.0;#;#;#
思金拉措;墨竹工卡;#;4.0;#;自然山水;19条点评
扎叶巴寺;拉萨;#;4.0;#;四大隐修地之一,历史建筑;40条点评
古乡湖景区;波密;#;4.0;#;湖上建有亭台楼阁,避暑纳凉;49条点评
西藏纳木错自然保护区-扎西岛寺;当雄;#;4.0;#;历史建筑;19条点评
林芝自然博物馆;林芝 · 林芝市中心及附近地区;#;3.9;#;博物馆;37条点评
达木寺骷髅墙;比如;#;3.9;#;头骨堆砌而成的围墙,历史建筑;18条点评
通麦大桥;波密;#;3.9;#;每次只限一部车过桥梁,地标观景;39条点评
喜马拉雅山脉;墨脱;#;3.9;#;雪域之乡，珠峰是其主峰,登高爬山;19条点评
江河汇流;林芝;#;3.9;#;自然山水;13条点评
珠峰小镇;定日;#;3.9;#;登山者之家,地标观景;2条点评
拉鲁湿地国家级自然保护区;拉萨;#;3.9;#;欣赏野生鸟类的好去处,自然山水;54条点评
桑耶寺;扎囊;4A;3.9;#;佛、法、僧俱全的寺院,历史建筑;137条点评
托林寺;札达;#;3.9;#;欣赏有名的唐卡壁画,历史建筑;44条点评
错高村;工布江达;#;3.9;#;登高爬山;15条点评
林芝射箭;林芝·西藏;#;3.9;#;#;#
羊卓雍措(羊湖)国际滑翔伞基地;浪卡子;#;3.9;#;滑翔伞;9条点评
雅鲁藏布江;贡嘎;#;3.9;#;文明见证汉藏交融,自然山水;20条点评
狮泉河;噶尔;#;3.8;#;沿岸以宽谷地形为主,自然山水;74条点评
嘎隆拉;墨脱;#;3.8;#;地势陡峭、地形复杂,登高爬山;31条点评
摩崖石刻;拉萨 · 布达拉宫/太阳岛及附近地区;#;3.8;#;绝壁刻满大小佛像5000多尊,历史建筑;38条点评
古格王朝遗址-红殿;札达;#;3.8;#;#;4条点评
罗布林卡动物园;拉萨 · 罗布林卡及附近地区;#;3.8;#;动物园&水族馆;6条点评
云藏文化体验空间;拉萨 · 八廓街/大昭寺及附近地区;#;3.8;#;特色展馆;8条点评
格林村观景台;墨脱;#;3.8;#;#;1条点评
尼洋阁藏东南文化博览园;林芝 · 林芝市中心及附近地区;4A;3.8;#;藏东南区独有少数民族文化,博物馆;34条点评
帕邦喀;拉萨;#;3.8;#;莲花生、 静命等曾在此修行,历史建筑;22条点评
佩枯错;吉隆;#;3.8;#;自然山水;38条点评
措宗寺;工布江达;#;3.7;#;建于唐代末年,历史建筑;6条点评
拉姆拉措;加查;#;3.7;#;湖面海拔5000多米,自然山水;83条点评
扎西岗村;林芝 · 鲁朗及附近地区;#;3.7;#;#;33条点评
嘎龙寺;波密;#;3.7;#;历史建筑;1条点评
功德林寺;拉萨 · 布达拉宫/太阳岛及附近地区;#;3.7;#;布达拉宫西南角的安静寺庙,历史建筑;21条点评
祥格拉冰川;边坝;#;3.7;#;自然山水;1条点评
宗山小布达拉;日喀则;#;3.7;#;红白相间的墙面,历史建筑;41条点评
羌塘国家级自然保护区;尼玛;#;3.7;#;观赏经幡和古塔,草原采风;80条点评
格桑花公园;拉萨 · 布达拉宫/太阳岛及附近地区;#;3.7;#;休息游憩的城市公园,公园&植物园;34条点评
来古村;八宿;#;3.7;#;登高爬山;14条点评
然乌镇;八宿;#;3.7;#;提供洁净丰富的水源,地标观景;16条点评
雪鹰通航直升机观光之旅;拉萨 · 文成公主实景剧场及附近地区;#;3.7;#;直升机体验;6条点评
萨迦寺;萨迦;4A;3.6;#;古老藏传佛寺,藏有贝叶经,历史建筑;58条点评
西藏色林错国家级自然保护区;申扎;#;3.6;#;观赏稀有野生生物物种资源,草原采风;7条点评
马卡鲁山;定日;#;3.6;#;登高爬山;15条点评
觉巴山;芒康;#;3.6;#;欣赏壮美的峭壁和深渊,登高爬山;28条点评
日喀则看冰川;江孜·日喀则;#;3.6;#;#;#
西藏盐井景区;芒康;#;3.6;#;历史建筑;14条点评
卓木拉日雪山;亚东;#;3.6;#;又称“神女峰”,登高爬山;42条点评
西藏看冰川;西藏·中国;#;3.6;#;#;#
公珠错;普兰;#;3.6;#;自然山水;15条点评
色拉寺辩经场;拉萨 · 色拉寺及附近地区;#;3.6;#;拉萨不可不看的人文景观,历史建筑;39条点评
《金城公主》演出;拉萨 · 文成公主实景剧场及附近地区;#;3.6;#;演出;48条点评
直贡梯寺;墨竹工卡;#;3.6;#;立于悬崖之上的古寺,历史建筑;61条点评
羊湖观景台;贡嘎;#;3.6;#;#;1条点评
班公湖;日土;#;3.6;#;自然山水;21条点评
文布南村;尼玛;#;3.6;#;#;6条点评
比日神山生态景区;林芝 · 林芝市中心及附近地区;#;3.6;#;可看到苯教的特色遗址,历史建筑;89条点评
西藏自然科学博物馆;拉萨 · 万达广场及附近地区;4A;3.5;#;博物馆;23条点评
吉布峡谷;吉隆;#;3.6;#;自然山水;1条点评
羊八井地热温泉度假村;当雄;#;3.5;#;#;#
关帝庙;拉萨 · 布达拉宫/太阳岛及附近地区;#;3.5;#;规模较大保存较完整,历史建筑;35条点评
西藏拉萨清真大寺;拉萨 · 八廓街/大昭寺及附近地区;#;3.5;#;以蓝色为基调的寺庙;82条点评
冈仁波齐大本营;普兰;#;3.5;#;#;1条点评
达切拉观光台;工布江达;#;3.5;#;地标观景;2条点评
加若拉山口;贡嘎;#;3.5;#;登高爬山;4条点评
万岁山;噶尔;#;3.5;#;#;#
高山牧场;林芝 · 鲁朗及附近地区;#;3.5;#;#;#
通麦天险;波密;#;3.5;#;土质疏松，雪山河流遍布,城市漫步;62条点评
卓奥友峰;定日;#;3.5;#;峰体被大量的冰川覆盖,登高爬山;21条点评
白居寺;江孜;#;3.5;#;藏传佛教寺庙，三派并立,历史建筑;106条点评
措那湖;安多;#;3.5;#;高原圣湖，湖内绿水清漪,自然山水;56条点评
干尸洞;札达;#;3.5;#;自然山水;7条点评
那木错;聂拉木;#;3.5;#;自然山水;3条点评
班公错;日土;#;3.5;#;明媚而狭长的湖泊,自然山水;82条点评
亲猴台;桑日;#;3.5;#;地标观景;1条点评
玉松岛南迦巴瓦观山文化社区;米林;#;3.5;#;徒步;1条点评
琼穆岗日;尼木;#;3.5;#;登高爬山;4条点评
仙足岛;拉萨 · 仙足岛及附近地区;#;3.5;#;背包客热爱的清闲之地,岛屿漫步;57条点评
林多大拐弯;墨脱;#;3.4;#;#;1条点评
江孜古城;江孜;#;3.4;#;古镇古村;4条点评
皮央东嘎洞窟遗址;札达;#;3.4;#;历史建筑;18条点评
琼姆岗嘎;尼木;#;3.4;#;登高爬山;1条点评
东达山;左贡;#;3.4;#;海拔高，一年四季雪常在,登高爬山;86条点评
莲花阁;墨脱;#;3.4;#;#;1条点评
拉萨大桥;拉萨 · 八廓街/大昭寺及附近地区;#;3.4;#;西藏第一座立交桥,地标观景;36条点评
悬空寺;普兰;#;3.4;#;寺庙和栈道是悬在空中的,历史建筑;6条点评
如美村;芒康;#;3.4;#;#;2条点评
珠穆朗玛峰观景平台;定日;#;3.4;#;#;2条点评
色季拉国家森林公园;林芝;#;3.4;#;观看一日四季的奇特景观,登高爬山;18条点评
当惹雍错;尼玛;#;3.4;#;自然山水;55条点评
西藏红山饭店(北京中路店);拉萨 · 布达拉宫/太阳岛及附近地区;#;3.4;#;布达拉宫的建造地,登高爬山;30条点评
山南博物馆;山南;#;3.4;#;博物馆;6条点评
乃钦康桑雪山冰川旅游区;江孜;#;3.4;#;登高爬山;5条点评
扎西岛;工布江达;#;3.4;#;参观唐代晚期的措宗寺;14条点评
扎日南木错;措勤;#;3.4;#;自然山水;44条点评
青藏川藏公路纪念碑;拉萨 · 罗布林卡及附近地区;#;3.4;#;铭记光辉业绩;41条点评
帕羊镇;仲巴;#;3.4;#;地标观景;11条点评
赞丹寺;索县;#;3.4;#;历史建筑;9条点评
白马错;洛扎;#;3.4;#;自然山水;6条点评
湖心宫;拉萨 · 罗布林卡及附近地区;#;3.4;#;历史建筑;22条点评
第十世班禅大师灵塔祀殿(释颂南捷);日喀则;#;3.4;#;历史建筑;17条点评
廓琼岗日冰川;当雄;#;3.3;#;车辆可抵达的高海拔冰川,登高爬山;84条点评
盔甲山;波密;#;3.3;#;登高爬山;6条点评
直贡梯寺天葬台;墨竹工卡;#;3.3;#;#;#
札达霞义沟土林景区;札达;#;3.3;#;自然山水;3条点评
苯日神山;林芝;#;3.3;#;#;#
雅鲁藏布江水葬台;贡嘎;#;3.3;#;自然山水;27条点评
鲁朗花海牧场;林芝;#;3.3;#;开阔的天然牧场,登高爬山;144条点评
扎布耶茶卡;仲巴;#;3.3;#;自然山水;16条点评
卡久寺;洛扎;#;3.3;#;历史建筑;8条点评
怒江第一湾;比如;#;3.3;#;自然山水;1条点评
雅鲁藏布大峡谷热气球飞行营地;米林;#;3.3;#;热气球;#
布加雪山冰川;巴青;#;3.3;#;自然山水;1条点评
止热寺;普兰;#;3.3;#;历史建筑;5条点评
纳木那尼峰;普兰;#;3.3;#;海拔7728米,登高爬山;44条点评
邦达草原;八宿;#;3.3;#;水草丰美的高寒草原,草原采风;63条点评
昌珠寺;山南;4A;3.3;#;珍珠唐卡为镇寺之宝,历史建筑;59条点评
西藏羊湖荒地星空营地;浪卡子;#;3.3;#;露营·营地;23条点评
怒江72拐大峡谷景区;八宿;#;3.3;#;#;2条点评
西藏大学(纳金校区);拉萨 · 万达广场及附近地区;#;3.3;#;高海拔大学;62条点评
西藏天海夜市(西藏天海商城天海路店);拉萨 · 罗布林卡及附近地区;#;3.3;#;城市漫步;10条点评
拿日雍错;山南;#;3.3;#;自然山水;8条点评
色季拉山口;林芝;#;3.3;#;#;#
纳金山;拉萨;#;3.2;#;登高爬山;1条点评
日土岩画;日土;#;3.2;#;历史建筑;19条点评
乃村;吉隆;#;3.2;#;#;12条点评
松赞巴松措林卡;工布江达;#;3.2;#;#;1条点评
西藏羊八井国家地质公园;当雄;#;3.2;#;#;#
雅拉香布神山;山南;#;3.2;#;登高爬山;4条点评
秀巴千年古堡群;工布江达;#;3.2;#;尼洋河风光带重要旅游景点,历史建筑;67条点评
多拉神山;八宿;#;3.2;#;登高爬山;19条点评
拉萨之窗;拉萨 · 拉萨火车站/柳梧新区及附近地区;#;3.2;#;地标观景;21条点评
天堂草原;拉萨 · 文成公主实景剧场及附近地区;#;3.2;#;草原采风;3条点评
金沙江大桥;芒康;#;3.2;#;地标观景;6条点评
米堆冰川景区观景台;波密;#;3.2;#;#;#
达果雪山;尼玛;#;3.2;#;登高爬山;11条点评
东方海岸温泉;林芝 · 林芝市中心及附近地区;#;3.2;#;洗浴泡汤;2条点评
措玉村;洛扎;#;3.2;#;#;1条点评
巴嘎乡;普兰;#;3.2;#;#;2条点评
茶马广场;昌都;#;3.2;#;#;1条点评
仁多乡;仲巴;#;3.2;#;#;1条点评
强巴佛殿(弥勒殿);日喀则;#;3.2;#;历史建筑;11条点评
勒布沟;错那;#;3.2;#;自然山水;5条点评
嘎朗湖景区;波密;#;3.2;#;自然风光十分优美,自然山水;16条点评
日多温泉;墨竹工卡;#;3.2;#;拉萨周边放松好去处,泡温泉;26条点评
措嘉冰川;浪卡子;#;3.2;#;自然山水;12条点评
推瓦村;浪卡子;#;3.2;#;#;3条点评
定结县陈塘沟风景区;定结;#;3.2;#;自然山水;3条点评
玛旁雍错湿地;普兰;#;3.2;#;#;4条点评
朗吉错;吉隆;#;3.2;#;自然山水;4条点评
康布温泉度假区;亚东;#;3.2;#;#;1条点评
雅江河谷;贡嘎;#;3.2;#;地标观景;1条点评
林周县夏寺;林周;#;3.3;#;历史建筑;2条点评
洛堆峰;当雄;#;3.2;#;登高爬山;#
乃钦康桑雪山;浪卡子;#;3.1;#;登高爬山;15条点评
下亚东原始森林;亚东;#;3.1;#;#;1条点评
佩古错;聂拉木;#;3.1;#;自然山水;9条点评
达则错;双湖;#;3.1;#;自然山水;8条点评
嘎朗王宫遗址;波密;#;3.1;#;历史建筑;7条点评
冲巴雍错;康马;#;3.1;#;登高爬山;#
达格架喷泉(自然景点);昂仁;#;3.1;#;地标观景;8条点评
布达拉宫-珍宝馆;拉萨 · 布达拉宫/太阳岛及附近地区;#;3.1;#;收藏精美文物,特色展馆;#
怒江桥;八宿;#;3.1;#;地标观景;1条点评
天空之树;双湖;#;3.1;#;#;#
错愕湖;尼玛;#;3.1;#;自然山水;2条点评
贡嘎冰洞;边坝;#;3.1;#;#;#
倾多寺;波密;#;3.1;#;#;1条点评
昌都博物馆;昌都;#;3.1;#;博物馆;6条点评
孝登寺;那曲;#;3.1;#;历史建筑;#
珠峰登山博物馆;拉萨 · 色拉寺及附近地区;#;3.1;#;了解珠穆朗玛峰历史,博物馆;11条点评
止热寺;普兰;#;3.1;#;#;#
定结湿地公园;定结;#;3.1;#;公园&植物园;#
格拉丹东雪山;安多;#;3.1;#;长江发源地，冰塔林壮观,登高爬山;11条点评
丹杰林寺;拉萨 · 八廓街/大昭寺及附近地区;#;3.1;#;普贤菩萨双修像造型奇特,历史建筑;16条点评
恰央措旅游景区;浪卡子;#;3.1;#;#;#
帕拉庄园;江孜;#;3.1;#;建筑配套完整,历史建筑;55条点评
小昭寺路;拉萨 · 八廓街/大昭寺及附近地区;#;3.1;#;能看到售卖酥油、披肩等的商贩,城市漫步;38条点评
布久喇嘛岭寺;林芝;#;3.1;#;历史建筑;50条点评
鲁朗贡措湖景区;林芝;#;3.0;#;自然山水;3条点评
岗巴拉山;亚东;#;3.0;#;登高爬山;3条点评
穹窿银城;札达;#;3.0;#;#;#
纳木湖乡;当雄;#;3.0;#;#;14条点评
驻藏大臣衙门遗址;拉萨 · 八廓街/大昭寺及附近地区;#;3.0;#;展示了历代驻藏大臣塑像,历史建筑;107条点评
卓龙沟;波密;#;3.0;#;自然山水;9条点评
唐古拉山;双湖;#;3.0;#;#;1条点评
马泉河;仲巴;#;3.0;#;自然山水;11条点评
贡觉林卡;日喀则;#;3.0;#;公园&植物园;23条点评
圣象天门三生石;班戈;#;3.0;#;#;#
牦牛博物馆;拉萨 · 拉萨火车站/柳梧新区及附近地区;4A;3.0;#;了解牦牛文化的佳地,博物馆;8条点评
樟木口岸;聂拉木;#;3.0;#;#;54条点评
布托湖;丁青;#;3.0;#;自然山水;11条点评
查嘎寺;吉隆;#;3.0;#;历史建筑;2条点评
定结宗措湖;定结;#;3.0;#;自然山水;#
易贡茶场;波密;#;3.0;#;自然山水;12条点评
班禅新宫;日喀则;#;3.0;#;历史建筑;31条点评
布达拉宫观景台;拉萨 · 布达拉宫/太阳岛及附近地区;#;3.0;#;#;1条点评
