景点名称;地点;景点级别;热度;口碑;标签;评论
厦门方特梦幻王国;厦门;#;7.2;2025中国100亲子景点;主打科幻互动体验,遛娃宝藏地;8697条点评
厦门方特旅游度假区;厦门;#;7.2;#;科幻与互动主题公园,遛娃宝藏地;271条点评
南少林寺;泉州 · 西湖公园/清源山;#;7.1;泉州必打卡景点榜 No.4;在演武堂看少林武术表演,历史建筑;441条点评
五店市传统街区;晋江 · 晋江万达/五店市;4A;7.1;泉州必打卡景点榜 No.6;千年人文历史11名状元郎,城市漫步;677条点评
泉州提线木偶戏;晋江 · 晋江万达/五店市;#;7.1;泉州必打卡景点榜 No.5;泉州木偶戏提线木偶戏表演,演出;735条点评
田螺坑土楼群;南靖 · 塔下土楼景区;5A;7.1;漳州亲子景点榜 No.1;露营·营地;3607条点评
环岛路;厦门 · 厦门大学地区;#;7.1;厦门必打卡景点榜 No.10;享受骑行海岸线的乐趣,遛娃宝藏地;6854条点评
西街;泉州 · 西街/开元寺;#;7.0;泉州必打卡景点榜 No.7;留有历史原貌建筑的街区,城市漫步;509条点评
集美学村;厦门 · 集美学村/杏林湾/园博苑;#;7.0;福建夜游必打卡景点榜 No.6;风格中西合璧的大学城,遛娃宝藏地;856条点评
菽庄花园;厦门 · 鼓浪屿地区;#;7.0;福建亲子景点榜 No.15;融合西洋色彩的园林景观,避暑纳凉;2710条点评
厦门 · 2024-2025张杰 未·LIVE—「开往1982」世界巡回演唱会;厦门;#;7.0;#;演唱会;#
厦门双子塔;厦门 · 厦门大学地区;#;7.0;厦门玩水避暑榜 No.4;55层观光厅眺望鼓浪屿,避暑纳凉;623条点评
泉州欧乐堡海洋王国乐园;惠安;4A;6.9;2025中国100亲子景点;嗨玩乐园;774条点评
闽越水镇;闽侯 · 闽越水镇内;4A;6.9;福州必打卡景点榜 No.5;还原福州百年水乡风貌,遛娃宝藏地;1000条点评
洛伽寺;石狮;#;6.9;泉州必打卡景点榜 No.9;庙跨蛟龙的海上寺庙,历史建筑;60条点评
崇武古城风景区;惠安;4A;6.9;泉州玩水避暑榜 No.1;为抵御倭寇所建的古城墙,避暑纳凉;1532条点评
厦门海底世界;厦门 · 鼓浪屿地区;#;6.8;#;完整的抹香鲸骨架,亲近动物;3596条点评
泉州欧乐堡度假区;惠安;#;6.8;#;主题乐园&游乐场;38条点评
金湖;泰宁 · 大金湖风景区;5A;6.8;三明必打卡景点榜 No.1;遛娃宝藏地;2261条点评
泰宁风景旅游区;泰宁 · 大金湖风景区;5A;6.8;#;#;54条点评
云水谣古镇;南靖 · 云水谣景区;#;6.8;南靖土楼夜游必打卡景点榜 No.3;避暑纳凉;5826条点评
曾厝垵;厦门 · 曾厝垵地区;#;6.8;厦门必打卡景点榜 No.13;厦门文创新地标,城市漫步;5037条点评
福建博物院;福州 · 西湖公园附近;#;6.8;福州必打卡景点榜 No.6;极具福建特色的综合博物馆,博物馆;441条点评
中山路步行街;厦门 · 中山路地区;#;6.7;福建夜游必打卡景点榜 No.13;厦门地标式商业街,遛娃宝藏地;2513条点评
海外交通史博物馆;泉州 · 万达广场/丰泽广场;#;6.7;泉州必打卡景点榜 No.11;了解泉州的海外交通史,展馆展览;251条点评
五缘湾帆船港;厦门 · 五缘湾地区;#;6.7;厦门亲子景点榜 No.6;和大海来一次亲密接触,遛娃宝藏地;1262条点评
五缘湾游海帆船出海;厦门 · 五缘湾地区;#;6.7;厦门玩水避暑榜 No.6;感受出海的乐趣,遛娃宝藏地;606条点评
四礵列岛;霞浦;#;6.6;霞浦玩水避暑榜 No.1;海滨玩水;41条点评
潮汐之眼摩天轮;厦门 · 白鹭洲/东渡客运码头;#;6.6;福建夜游必打卡景点榜 No.11;地标观景;371条点评
漳州古城;漳州 · 漳州古城;#;6.7;漳州必打卡景点榜 No.3;电影《云水谣》取景地,避暑纳凉;208条点评
福建土楼王景区;龙岩 · 永定土楼;#;6.6;#;了解土楼悠久的历史文化,历史建筑;879条点评
海上看金门;厦门 · 中山路地区;#;6.6;厦门亲子景点榜 No.8;宣传标语和军事设施,遛娃宝藏地;2328条点评
崇武古城;惠安;#;6.6;#;避暑纳凉;9条点评
蟳埔村;泉州 · 蟳埔村/东海泰禾广场;#;6.6;泉州必打卡景点榜 No.12;中亚风格尚存的小渔村,夜游观景;97条点评
上下杭;福州 · 上下杭/宝龙广场;#;6.6;福州必打卡景点榜 No.7;建筑文化浓郁的传统街区,城市漫步;228条点评
东山风动石景区;东山 · 南门湾/风动石;4A;6.5;#;东山岛标志性景观,遛娃宝藏地;1783条点评
平潭看日出;平潭·福州;#;6.5;福州特色体验榜 No.1;#;#
泉州古城;泉州 · 西街/开元寺;#;6.5;#;海上丝绸之路的起点,古镇古村;129条点评
晋江梧林传统村落;晋江;4A;6.5;泉州必打卡景点榜 No.13;历史悠久，闽南古村落的瑰宝,避暑纳凉;65条点评
厦门老院子景区;厦门 · 厦门北站地区;4A;6.4;厦门玩水避暑榜 No.7;穿越到闽南渔村古厝,避暑纳凉;1656条点评
中鱼视界·城市欢乐场;厦门 · 白鹭洲/东渡客运码头;#;6.4;#;#;6条点评
冠豸山景区;连城;5A;6.4;连城玩水避暑榜 No.1;登客家深山享受山水风光,避暑纳凉;2454条点评
厦门 · 王心凌SUGAR HIGH 2.0个人演唱会-厦门站;厦门;#;6.4;#;演唱会;#
泉州 · 王力宏「最好的地方」巡回演唱会-泉州站;泉州;#;6.4;#;演唱会;#
鼓山;福州 · 鼓山风景区及周边;4A;6.3;福州必打卡景点榜 No.8;山上的千年古刹香火旺盛,遛娃宝藏地;1136条点评
白水洋风景区;屏南 · 白水洋;5A;6.3;屏南玩水避暑榜 No.1;去天然冲浪游泳池戏水,避暑纳凉;1880条点评
火山岛旅游休闲度假区;漳浦 · 火山岛景区;4A;6.3;漳浦玩水避暑榜 No.1;滨海火山地质遗迹,海滨玩水;1515条点评
泉州博物馆;泉州 · 西湖公园/清源山;4A;6.3;泉州必打卡景点榜 No.14;闽南建筑风格的博物馆,博物馆;172条点评
白城沙滩;厦门 · 厦门大学地区;#;6.3;厦门亲子景点榜 No.9;毗邻厦大的海边沙滩,海滨玩水;698条点评
灵玲马戏城;厦门 · 集美学村/杏林湾/园博苑;#;6.3;厦门亲子景点榜 No.10;独具地方特色建筑的马戏城,看演出;5693条点评
南门湾;东山 · 南门湾/风动石;#;6.3;漳州亲子景点榜 No.2;极具南国滨海风光特色,海滨玩水;77条点评
云上厦门观光厅;厦门 · 厦门大学地区;#;6.2;厦门亲子景点榜 No.11;饱览百米高空的震撼景致,地标观景;1770条点评
厦门方特水上乐园;厦门;#;6.2;厦门玩水避暑榜 No.5;嗨玩丰富的水上项目,遛娃宝藏地;1294条点评
厦门赶海;厦门·福建;#;6.2;厦门特色体验榜 No.1;夏季是赶海的好时机;#
日月谷温泉;厦门;4A;6.1;2025中国50温泉景点;颇具东南亚风情,遛娃宝藏地;3779条点评
皓月园;厦门 · 鼓浪屿地区;#;6.2;厦门亲子景点榜 No.13;纪念民族英雄的雕像园,地标观景;1175条点评
武夷山九曲溪;武夷山 · 武夷山风景区;#;6.1;南平亲子景点榜 No.3;碧水丹山的风景胜地,清凉漂流;2538条点评
九鲤湖风景区;仙游;4A;6.1;仙游玩水避暑榜 No.1;瀑布众多，大小不一,避暑纳凉;1203条点评
下梅古民居;武夷山 · 三姑度假区;#;6.1;#;展示明清石雕风格的建筑群,古镇古村;541条点评
杨家溪;霞浦;#;6.1;霞浦玩水避暑榜 No.3;有古榕树群和纯枫叶林,避暑纳凉;372条点评
鱼骨沙洲;东山 · 岐下鱼骨沙洲/天涯澳角;#;6.1;漳州亲子景点榜 No.3;退潮后出现鱼骨形状的沙滩,海滨玩水;109条点评
汀州古城;长汀;#;6.1;福建夜游必打卡景点榜 No.14;俯瞰客家民居风貌,古镇古村;351条点评
厦门 · 卫兰OUT OF FRAME世界巡回演唱会—厦门站;厦门;#;6.1;#;演唱会;#
沙坡尾避风坞;厦门 · 厦门大学地区;#;6.1;厦门亲子景点榜 No.15;沙坡头与沙坡尾的分界线,海滨沙滩;194条点评
洛阳桥;惠安;#;6.1;泉州必打卡景点榜 No.15;历史悠久的跨海梁式大石桥,历史建筑;384条点评
泉州非遗体验馆;晋江 · 晋江万达/五店市;#;6.1;泉州亲子景点榜 No.12;两种国家非遗木偶戏演出,博物馆&展馆;91条点评
初溪古村落景区;龙岩;#;6.0;#;兼容客家及中原文化土楼群,历史建筑;298条点评
武夷山漂流;武夷山·南平;#;6.0;#;全程惊险不断乐趣无穷;#
黄厝海滩;厦门 · 环岛路/黄厝海滨浴场/会展中心;#;6.0;厦门玩水避暑榜 No.3;观看国际马拉松比赛,海滨玩水;319条点评
东壁;霞浦 · 三沙/东壁/小皓;#;6.0;霞浦玩水避暑榜 No.2;气候宜人、物产丰富,避暑纳凉;94条点评
厦门方特东方神画;厦门;#;6.0;厦门亲子景点榜 No.17;汇聚华夏民族特色的乐园,遛娃宝藏地;5091条点评
关岳庙;泉州 · 西街/开元寺;#;6.0;泉州必打卡景点榜 No.16;祭祀关羽和岳飞的庙宇,夜游观景;302条点评
明谷行馆·温泉体验;福州 · 福州火车站;#;6.0;福州必打卡景点榜 No.9;拥有优良的温泉水质,SPA/按摩;307条点评
大嵛山岛;福鼎 · 嵛山岛;#;5.9;福鼎玩水避暑榜 No.1;中国美丽的十大海岛之一,海滨玩水;707条点评
厦门市博物馆;厦门 · SM城市广场地区;#;5.9;厦门亲子景点榜 No.18;参观郑成功纪念馆,博物馆;272条点评
石狮十里黄金海岸;石狮;#;5.9;石狮玩水避暑榜 No.1;欣赏趣味十足的海豚表演,海滨玩水;130条点评
海坛古城;平潭 · 海坛古城;4A;5.9;#;闽越海洋文化主题乐园,夜游观景;542条点评
厦门 · 伍佰 & China Blue ROCK STAR 2 巡回演唱会;厦门;#;5.9;#;演唱会;#
九龙潭;泰宁;#;5.9;三明亲子景点榜 No.1;清凉漂流;588条点评
林则徐纪念馆;福州 · 三坊七巷;#;5.9;福州必打卡景点榜 No.10;博物馆&展馆;383条点评
泉州之眼摩天轮;泉州 · 蟳埔村/东海泰禾广场;#;5.8;泉州必打卡景点榜 No.18;泉州市爱情地标,地标观景;461条点评
烟台山公园;福州 · 烟台山/海峡会展中心;#;5.9;福州必打卡景点榜 No.11;叠水假山、石雕花廊,避暑纳凉;76条点评
福州永泰欧乐堡海洋世界;永泰;4A;5.8;福州必打卡景点榜 No.12;亲近动物;552条点评
厦门帆船运动;厦门·福建;#;5.8;厦门特色体验榜 No.2;风劲帆满海天阔;#
天游峰;武夷山 · 武夷山风景区;#;5.8;南平亲子景点榜 No.4;观云海，俯视武夷壮观景象,登高爬山;1041条点评
厦门灵玲动物王国;厦门 · 集美学村/杏林湾/园博苑;#;5.8;#;看可爱小熊猫,亲近动物;471条点评
中鱼视界海洋王国;厦门 · 白鹭洲/东渡客运码头;#;5.8;厦门亲子景点榜 No.19;避暑纳凉;95条点评
蓝眼泪景区;平潭 · 坛南湾/将军山;#;5.7;福州必打卡景点榜 No.13;夜游观景;19条点评
漳州木偶艺术表演馆;漳州 · 漳州古城;#;5.8;漳州亲子景点榜 No.4;历史悠久、栩栩如生;52条点评
福道;福州 · 西湖公园附近;#;5.7;福州必打卡景点榜 No.14;钢架镂空设计的森林步道,夜游观景;71条点评
十里长堤;厦门 · 集美学村/杏林湾/园博苑;#;5.7;#;享受大自然给予的宁静,夜游观景;52条点评
石牛山景区;德化;4A;5.7;德化玩水避暑榜 No.1;放射状的火山塌陷盆地,避暑纳凉;724条点评
青龙大瀑布;武夷山;#;5.7;武夷山玩水避暑榜 No.2;寻觅百余种珍稀树种,避暑纳凉;295条点评
八卦楼;厦门 · 鼓浪屿地区;#;5.7;#;展出世界各地有历史的风琴,博物馆;680条点评
永宁古镇;石狮;#;5.7;泉州必打卡景点榜 No.20;闽南风格的建筑，静谧古朴,古镇古村;69条点评
北岐滩涂;霞浦 · 北岐滩涂;#;5.7;宁德必打卡景点榜 No.7;摄影爱好者的天堂,海滨玩水;494条点评
邮轮中心厦鼓码头;厦门;#;5.7;#;地标观景;64条点评
中国船政文化景区;福州 · 福州南站/马尾自贸区;4A;5.7;福州必打卡景点榜 No.16;了解福州船政的历史;63条点评
中国船政文化博物馆;福州 · 福州南站/马尾自贸区;#;5.7;福州亲子景点榜 No.11;展示中国船政文化与成果,博物馆;111条点评
惠女风情园;惠安;#;5.6;泉州亲子景点榜 No.17;感受淳朴奇异的民俗风情,海滩&岛屿;74条点评
坛南湾;平潭 · 坛南湾/将军山;#;5.6;#;沙质细腻的坛南银滩,海滨玩水;183条点评
西禅古寺;福州 · 西湖公园附近;#;5.7;福州必打卡景点榜 No.15;福州五大禅林之一,历史建筑;300条点评
罗源湾海洋世界;罗源;4A;5.6;福州必打卡景点榜 No.17;上百种海洋生物,亲近动物;3302条点评
桂峰古村落景区;尤溪;4A;5.6;三明必打卡景点榜 No.3;探访明清建筑古村落,遛娃宝藏地;175条点评
福州西湖公园;福州 · 西湖公园附近;#;5.6;福州必打卡景点榜 No.18;福州老牌的城市公园,避暑纳凉;980条点评
将军山;平潭 · 坛南湾/将军山;#;5.6;福州必打卡景点榜 No.19;开展军事野营活动的好去处,登高爬山;#
泉州非物质文化遗产博物馆;泉州 · 西湖公园/清源山;#;5.6;泉州亲子景点榜 No.18;欣赏不可再生的民间工艺品,博物馆;53条点评
寨下大峡谷;泰宁;#;5.6;三明亲子景点榜 No.2;避暑纳凉;951条点评
上清溪;泰宁;#;5.6;泰宁玩水避暑榜 No.2;避暑纳凉;664条点评
泉州欧乐堡童话世界;惠安;4A;5.6;泉州亲子景点榜 No.19;儿童乐园;63条点评
泉州天后宫;泉州 · 西街/开元寺;#;5.6;#;东南亚较大的妈祖庙,历史建筑;316条点评
厦门 · 上杉升2025《直到世界尽头》巡演;厦门 · SM城市广场地区;#;5.6;#;演唱会;#
湄洲妈祖祖庙;莆田 · 湄洲岛·国家旅游度假区;#;5.6;#;妈祖信众的精神故园,历史建筑;217条点评
承启楼;龙岩 · 永定土楼;#;5.6;龙岩必打卡景点榜 No.4;规模大造型奇,号称土楼王,历史建筑;104条点评
清净寺;泉州 · 西街/开元寺;#;5.5;#;历史建筑;387条点评
和贵楼;南靖 · 云水谣景区;#;5.5;#;建于清代雍正十年的土楼,历史建筑;380条点评
鹭岛观光旅游巴士;厦门 · 白鹭洲/东渡客运码头;#;5.5;#;夜游观景;70条点评
厦门 · 李荣浩《黑马》世界巡回演唱会;厦门;#;5.5;#;演唱会;#
海天堂构;厦门 · 鼓浪屿地区;#;5.5;厦门亲子景点榜 No.20;中西合璧的老别墅群,历史建筑;988条点评
福州 · 任贤齐《齐迹2025演唱会》福州站;福州 · 金山/仓山万达;#;5.5;#;演唱会;#
福建土楼王子景区;龙岩 · 永定土楼;5A;5.5;#;夜游观景;79条点评
厦门山海健康步道;厦门 · 白鹭洲/东渡客运码头;#;5.5;#;沿线风景优美,夜游观景;50条点评
青云山;永泰 · 云顶旅游区/青云山景区;4A;5.5;福州必打卡景点榜 No.20;穿越惊险石廊,登高爬山;275条点评
泉州木偶戏表演;泉州·福建;#;5.5;泉州特色体验榜 No.1;#;#
卧龙书院;长汀;#;5.5;龙岩亲子景点榜 No.4;历史建筑;104条点评
厦门 · 周杰伦嘉年华世界巡回演唱会2025;厦门;#;5.5;#;演唱会;#
一国两制沙滩;厦门 · 环岛路/黄厝海滨浴场/会展中心;#;5.5;#;“一国两制”大标语牌,海滨玩水;24条点评
万国建筑博览;厦门 · 鼓浪屿地区;#;5.5;#;中西合璧的中外建筑,地标观景;336条点评
泉州欧乐堡水上世界;惠安;4A;5.5;泉州亲子景点榜 No.20;遛娃宝藏地;261条点评
厦门 · 2025胡夏《那些年·时光放映厅》巡回演唱会-厦门站;厦门;#;5.5;#;演唱会;#
彩蝶湾景区;东山 · 金銮湾/马銮湾;#;5.5;东山玩水避暑榜 No.2;海滨玩水;32条点评
怀远楼;南靖 · 云水谣景区;#;5.4;#;双环圆形土楼,历史建筑;370条点评
半月山温泉;漳州;#;5.4;漳州必打卡景点榜 No.6;泡温泉欣赏繁茂的植被,遛娃宝藏地;329条点评
灵通风景区;平和;#;5.4;平和玩水避暑榜 No.1;欣赏天然大佛和飞瀑景观,登高爬山;133条点评
泉州木偶剧院;泉州 · 西湖公园/清源山;#;5.4;#;观看提线木偶演出,演出;10条点评
世茂海上丝绸之路博物馆;石狮;#;5.4;石狮亲子景点榜 No.3;展馆展览;89条点评
鸳鸯溪;屏南 · 白水洋;5A;5.4;宁德亲子景点榜 No.5;仅有的鸳鸯鸟保护区,避暑纳凉;472条点评
东海仙境;平潭 · 仙人井;#;5.4;#;海蚀岩洞，可赏广阔海景,自然山水;90条点评
诚毅科技探索中心;厦门 · 集美学村/杏林湾/园博苑;4A;5.4;#;七大展区深入了解科技,展馆展览;1531条点评
泉州海丝野生动物世界;泉州;#;5.3;#;观赏世界珍稀野生动物,亲近动物;992条点评
厦门 · 2025苏见信「尽兴而活」巡回演唱会;厦门;#;5.3;#;演唱会;#
永福台品樱花茶园;漳平;#;5.3;龙岩亲子景点榜 No.5;茶田套种樱花，景观独特,自然山水;229条点评
同安影视城;厦门;#;5.3;#;亲临古城，各种仿古建筑,影视基地;612条点评
龙凤头海滨浴场;平潭 · 龙王头沙滩/县城区;#;5.3;#;白沙碧海下享受海边时光,海滨玩水;294条点评
钟楼;泉州 · 西街/开元寺;#;5.3;#;具有欧洲风格的钟楼,历史建筑;242条点评
玉华洞;将乐;4A;5.3;将乐玩水避暑榜 No.1;徐霞客曾到访的石灰岩溶洞,避暑纳凉;776条点评
牛郎岗海滨景区;福鼎;4A;5.3;福鼎玩水避暑榜 No.2;当地知名的婚纱摄影基地,海滨玩水;539条点评
沙坡尾艺术西区;厦门 · 厦门大学地区;#;5.3;#;体验自由滑板和服饰设计,夜游观景;90条点评
龙潭古镇;屏南;#;5.3;#;古镇古村;7条点评
厦门 · 状况外 窦靖童巡回演唱会-厦门站;厦门 · 集美学村/杏林湾/园博苑;#;5.3;#;演唱会;#
长江澳海滩;平潭 · 长江澳风力田;#;5.3;#;平潭三大海滨沙滩之一,海滨玩水;55条点评
和平古镇;邵武;4A;5.3;南平必打卡景点榜 No.4;品民俗文化，看明清古民居,古镇古村;110条点评
下尾岛;霞浦;#;5.3;#;海滩&岛屿;19条点评
龙王头沙滩;平潭;#;5.3;#;海滨玩水;13条点评
《最忆船政》;福州 · 福州南站/马尾自贸区;#;5.3;福州亲子景点榜 No.15;演出;52条点评
红塔湾;石狮;#;5.3;石狮玩水避暑榜 No.2;领略“红塔夕照”的美景,海滨玩水;14条点评
厦门 · MC HotDog热狗 2025《装艺术家》巡回演唱会;厦门;#;5.2;#;演唱会;#
钢琴博物馆;厦门 · 鼓浪屿地区;#;5.3;鼓浪屿亲子景点榜 No.4;观赏造型奇特的古钢琴,博物馆;881条点评
贵安水世界海皮岛;连江 · 贵安;#;5.3;连江玩水避暑榜 No.2;结合玛雅文化的水上乐园,遛娃宝藏地;210条点评
香山游艇会;厦门 · 环岛路/黄厝海滨浴场/会展中心;#;5.3;厦门玩水避暑榜 No.9;引入全新的游艇生活方式,游艇帆船;54条点评
香山帆船出海体验;厦门 · 环岛路/黄厝海滨浴场/会展中心;#;5.3;#;以帆船为主的海上娱乐项目,遛娃宝藏地;192条点评
三姑度假区;武夷山 · 三姑度假区;#;5.3;#;度假村;6条点评
永泰中国云顶;永泰 · 云顶旅游区/青云山景区;4A;5.3;永泰玩水避暑榜 No.1;山崖峡谷观光索道,避暑纳凉;2420条点评
福建天柱山欢乐大世界;漳州;#;5.3;漳州必打卡景点榜 No.8;唯美海洋世界,遛娃宝藏地;944条点评
小嶝岛;厦门;#;5.3;厦门玩水避暑榜 No.8;拥有闽南民俗建筑的岛屿,海滨玩水;164条点评
客家八喜楼;长汀;#;5.2;#;特色展馆;49条点评
桃源洞;永安;4A;5.2;永安玩水避暑榜 No.1;清凉漂流;775条点评
六鳌翡翠湾;漳浦 · 六鳌翡翠湾景区;#;5.2;#;欣赏迷人的沙雕,海滨玩水;120条点评
中国闽台缘博物馆;泉州 · 西湖公园/清源山;4A;5.2;#;探索博物馆中的泉州发展,博物馆;189条点评
奇达村;连江;#;5.2;连江玩水避暑榜 No.1;古老的小渔村，岛屿众多,避暑纳凉;51条点评
北港村;平潭 · 北港村/渔屿村;#;5.2;#;海边小村，石头房屋是特色,避暑纳凉;138条点评
泉州簪花体验;泉州·福建;#;5.2;泉州特色体验榜 No.2;#;5条点评
厦门滨海水运动度假区;厦门 · 环东海域度假区;#;5.2;厦门玩水避暑榜 No.2;海滨玩水;2499条点评
三沙镇;霞浦 · 三沙/东壁/小皓;#;5.2;宁德亲子景点榜 No.6;全国有名的闽东渔场所在地,海滩&岛屿;46条点评
南日岛;莆田;#;5.2;莆田玩水避暑榜 No.3;未被开发的原生岛屿,海滨玩水;88条点评
福州御温泉度假酒店温泉;永泰 · 云顶旅游区/青云山景区;#;5.2;福州亲子景点榜 No.17;泡温泉;91条点评
安平桥;晋江 · 安海镇;4A;5.2;晋江必打卡景点榜 No.4;现存较长的海港大石桥,历史建筑;386条点评
厦门 · 陈小春2025《生·旦·净·末·丑》巡回演唱会;厦门;#;5.2;#;演唱会;#
厦门园林博览苑;厦门 · 集美学村/杏林湾/园博苑;4A;5.2;厦门近期热门景点榜 No.7;参观九大不同风格园林,园林花园;1196条点评
泉州府文庙;泉州 · 西街/开元寺;#;5.2;#;现存规模较大的文庙建筑群,历史建筑;179条点评
大红袍景区;武夷山 · 武夷山风景区;#;5.2;#;观赏稀有的大红袍母树,遛娃宝藏地;516条点评
烟台山;福州 · 烟台山/海峡会展中心;#;5.2;#;夜游观景;5条点评
南少林寺;莆田;#;5.2;莆田亲子景点榜 No.4;欣赏珍贵的北宋石槽,历史建筑;114条点评
平流尾地质公园;连江;#;5.2;连江玩水避暑榜 No.3;海水清澈，有大片的礁石,自然山水;50条点评
武夷山品茶;武夷山·南平;#;5.2;#;体验茶叶加工的全过程;#
贵安欢乐世界;连江 · 贵安;4A;5.1;福州亲子景点榜 No.19;惊险刺激的游戏王国,遛娃宝藏地;1888条点评
尚书第;泰宁 · 县城;#;5.1;三明亲子景点榜 No.6;遛娃宝藏地;751条点评
厦门游船观光;厦门·福建;#;5.1;厦门特色体验榜 No.3;#;#
明清园;泰宁;4A;5.1;三明亲子景点榜 No.7;历史建筑;217条点评
福州贵安溪山温泉;连江 · 贵安;4A;5.1;连江玩水避暑榜 No.4;毗邻高尔夫球场的优质温泉,遛娃宝藏地;467条点评
福州国家森林公园;福州;4A;5.1;福州玩水避暑榜 No.6;全国十大森林公园之一,避暑纳凉;802条点评
平潭海上观光游;平潭;#;5.1;#;乘船游览;33条点评
最美转角;厦门 · 鼓浪屿地区;#;5.1;#;《转角遇到爱》的取景地,城市漫步;26条点评
狐尾山公园;厦门 · 白鹭洲/东渡客运码头;#;5.1;厦门夜游必打卡景点榜 No.7;市区内的天然氧吧,遛娃宝藏地;130条点评
海上明珠观光塔;厦门 · 白鹭洲/东渡客运码头;#;5.1;#;可俯览金门风光,遛娃宝藏地;161条点评
宋街;武夷山 · 武夷山风景区;#;5.1;南平亲子景点榜 No.7;模仿宋代建筑的商业街,城市漫步;125条点评
橘若咖啡民宿艺术馆;石狮;#;5.0;#;地标观景;21条点评
海湾公园;厦门 · 白鹭洲/东渡客运码头;#;5.0;#;拥有游乐场的城市公园,避暑纳凉;262条点评
烟台山商业漫步街区;福州 · 烟台山/海峡会展中心;#;5.0;#;城市漫步;11条点评
左海公园;福州 · 西湖公园附近;#;5.0;福州玩水避暑榜 No.8;福州市区面积宽广的公园,避暑纳凉;230条点评
左海海底世界;福州 · 西湖公园附近;#;5.0;#;大型海洋动物展馆,亲近动物;325条点评
