景点名称;地点;景点级别;热度;口碑;标签;评论
澳门大赛车博物馆;距市中心1.3km;#;6.7;澳门亲子景点榜 No.11;格兰披治大赛车相关博物馆,博物馆;426条点评
澳门开篷观光巴士;距市中心2.0km;#;6.6;澳门亲子景点榜 No.12;澳门美丽旅游观光巴士,巴士观光;179条点评
官也街;距市中心4.0km;#;6.5;澳门必打卡景点榜 No.18;美食购物两不误的手信街,城市漫步;2794条点评
澳门渔人码头;距市中心1.5km;#;6.5;澳门夜游必打卡景点榜 No.7;游览欧陆风格建筑,遛娃宝藏地;737条点评
永利皇宫观光缆车;距市中心5.1km;#;6.4;澳门夜游必打卡景点榜 No.4;俯瞰城市全貌观赏路氹城,夜游观景;335条点评
永利皇宫度假区;距市中心5.3km;#;6.3;#;度假村;63条点评
妈阁庙;距市中心1.2km;#;6.2;澳门亲子景点榜 No.15;古老庙宇香火旺盛,历史建筑;785条点评
澳门citywalk;澳门·中国;#;6.2;#;#;#
GoAirborne室内跳伞;距市中心6.0km;#;6.2;#;遛娃宝藏地;203条点评
中国澳门 · 澳门2049;距市中心5.3km;#;6.2;#;演出;69条点评
澳门观光塔笨猪跳(蹦极跳);距市中心1.0km;#;6.1;#;从233米的高空一跃而下,蹦极;451条点评
葡京人综合度假区;距市中心5.9km;#;6.1;#;度假村;24条点评
澳门蹦极;澳门·中国;#;6.1;澳门特色体验榜 No.1;#;#
中国澳门 · 张学友《60+》巡回演唱会;距市中心5.1km;#;5.9;#;演唱会;#
大炮台;距市中心1.1km;#;5.8;澳门夜游必打卡景点榜 No.14;参观百年古炮俯瞰澳门美景,历史建筑;1782条点评
新濠影汇满纷乐园;距市中心5.5km;#;5.8;#;儿童乐园;431条点评
中国澳门 · 李惠利2025《Welcome to HYERI's STUDIO》粉丝见面会;距市中心4.6km;#;5.8;#;演唱会;#
ZIPCITY澳门飞索;距市中心5.8km;#;5.7;澳门亲子景点榜 No.17;沉浸式城市飞索体验,遛娃宝藏地;125条点评
新濠尊属系列：黎明STAGE ON 8演唱会2025;距市中心5.4km;#;5.7;#;演唱会;20条点评
澳门博物馆;距市中心1.1km;#;5.7;澳门亲子景点榜 No.18;了解澳门历史文化,博物馆;684条点评
玫瑰圣母堂;距市中心896m;#;5.6;澳门夜游必打卡景点榜 No.9;四百年历史巴洛克教堂,博物馆&展馆;814条点评
中国澳门 · “老友记”演唱会——张信哲 × 伍思凯 × 张远;距市中心4.8km;#;5.6;#;演唱会;#
天浪淘园;距市中心4.6km;#;5.6;澳门亲子景点榜 No.19;全球大型的空中激浪,水乐园;84条点评
中国澳门 · 林忆莲《回响 Resonance》 2025巡回演唱会澳门站;距市中心4.8km;#;5.6;#;演唱会;#
路环;距市中心7.1km;#;5.6;澳门玩水避暑榜 No.4;游览妈祖文化村,岛屿漫步;193条点评
十月初五马路;距市中心7.9km;#;5.5;#;澳门旧式街道缩影,城市漫步;134条点评
氹仔岛;距市中心3.7km;#;5.5;#;凼仔岛到处是葡萄牙式建筑,岛屿漫步;181条点评
中国澳门 · 2025KARA“The Phoenix Tour”巡回演唱会中国澳门站;距市中心5.4km;#;5.5;#;演唱会;1条点评
澳门银河度假区;距市中心4.4km;#;5.5;#;夜游观景;19条点评
中国澳门 · The Chainsmokers亚洲巡演;距市中心4.5km;#;5.5;#;演唱会;#
澳门美高梅天幕广场;距市中心525m;#;5.5;澳门亲子景点榜 No.20;光、影、水世界,遛娃宝藏地;113条点评
保利美高梅博物馆;距市中心524m;#;5.4;#;博物馆&展馆;3条点评
澳门永利皇宫Illuminarium幻影空间;距市中心5.3km;#;5.4;#;特色展馆;36条点评
澳门观光塔空中漫步;距市中心1.1km;#;5.5;#;在233米的高空绕塔踱步,蹦极;70条点评
恋爱巷;距市中心1.2km;#;5.3;#;大三巴牌坊前文艺小街,城市漫步;176条点评
澳门回归贺礼陈列馆;距市中心1.2km;#;5.3;#;回归纪念，澳门的历史见证,博物馆;51条点评
第71届澳门格兰披治大赛车;距市中心2.0km;#;5.3;#;澳门车坛盛事;221条点评
议事亭前地;距市中心811m;#;5.3;#;葡式历史建筑环绕,地标观景;856条点评
中国澳门 · Alan Walker 2025 Live in Macau;距市中心5.9km;#;5.3;#;演唱会;#
金莲花广场;距市中心1.3km;#;5.2;#;澳门回归纪念景点,地标观景;329条点评
澳门上葡京综合度假区;距市中心5.6km;#;5.2;澳门赏花踏青景点榜 No.1;澳门的崭新地标,度假村;68条点评
童梦天地;距市中心4.9km;#;5.2;#;新一代玩乐大本营,遛娃宝藏地;354条点评
黑沙海滩;距市中心7.8km;#;5.2;澳门玩水避暑榜 No.2;赏黑沙享惬意海景,海滨沙滩;490条点评
传奇英雄科技城;距市中心5.4km;#;5.1;#;VR特色体验馆,遛娃宝藏地;153条点评
中国澳门 · RIIZE 2025《RIIZING LOUD》亚洲巡演;距市中心4.3km;#;5.1;#;演唱会;#
中国澳门 · NMIXX《NMIXX CHANGE UP : MIXX LAB》2ND粉丝巡演;距市中心5.1km;#;5.0;#;演唱会;#
吉祥树;距市中心504m;#;5.0;#;酒店内的定时表演,地标观景;88条点评
疯堂斜巷;距市中心1.2km;#;5.0;#;葡式风格的街道,城市漫步;67条点评
东望洋炮台及灯塔;距市中心1.3km;#;4.9;#;塔顶可俯瞰半岛全景,地标观景;226条点评
银河综艺馆;距市中心5.1km;#;4.9;#;经常举办明星演唱会,特色展馆;5条点评
澳门氹仔码头;距市中心4.2km;#;4.9;#;#;6条点评
澳门大学;长隆旅游度假区·距市中心6.0km;#;4.9;澳门赏花踏青景点榜 No.2;公立综合性大学;136条点评
美高梅剧院;距市中心5.1km;#;4.9;#;演出;10条点评
澳门威尼斯人V水疗;距市中心4.6km;#;4.9;#;SPA/按摩;8条点评
澳门历史城区;距市中心847m;#;4.8;#;中西文化交融的历史城区,历史建筑;425条点评
中国澳门 ·  「澳門銀河™」呈献 2025 张继聪x谢安琪「The Duality 一念双生」;距市中心4.6km;#;4.8;#;演唱会;#
东望洋新街;距市中心878m;#;4.8;#;老房子林立，感受澳门的历史氛围;21条点评
澳门SPA;澳门·中国;#;4.8;澳门特色体验榜 No.2;#;#
澳门美狮美高梅度假区;距市中心5.3km;#;4.7;#;#;#
中国澳门 · WM! GO!;距市中心4.8km;#;4.7;#;演唱会;#
龙环葡韵住宅式博物馆;距市中心4.1km;#;4.7;#;薄荷绿的葡萄牙风情建筑,博物馆;446条点评
威尼斯人剧场;距市中心4.8km;#;4.6;#;气派的演出剧场,演出;105条点评
澳门十六浦;距市中心1.3km;#;4.6;#;度假村;35条点评
澳门艺术博物馆;距市中心1.2km;#;4.6;#;艺术及文物主题博物馆,特色展馆;124条点评
澳门永利喷泉;距市中心299m;#;4.6;#;巨大的湖泊式喷泉,地标观景;136条点评
圣母诞辰主教座堂;距市中心761m;#;4.5;#;欣赏南欧风格的典雅建筑,历史建筑;200条点评
石排湾郊野公园;距市中心6.9km;#;4.5;#;动物园&水族馆;21条点评
路环圣方济各堂;距市中心7.8km;#;4.5;#;巴罗克式风格教堂;139条点评
哪吒庙;距市中心1.2km;#;4.4;#;供奉着形态各异的哪吒神像,历史建筑;206条点评
熊猫馆;距市中心6.9km;#;4.4;#;熊猫主题的动物园,动物园&水族馆;52条点评
郑家大屋;距市中心864m;#;4.4;#;澳门很大的清代民宅,历史建筑;215条点评
海事博物馆;距市中心1.3km;#;4.3;#;介绍澳门的航海历史,博物馆;234条点评
中国澳门 · 动力火车《都是因为爱》巡回演唱会;距市中心5.1km;#;4.3;#;演唱会;#
大三巴街;距市中心994m;#;4.3;#;浓浓欧式风情购买手信好地,城市漫步;166条点评
银河水幕钻石秀表演;距市中心4.4km;#;4.3;#;演出;6条点评
澳门观光塔高飞跳;距市中心945m;#;4.4;#;在澳门上空写意遨翔,蹦极;25条点评
澳门市政署;距市中心796m;#;4.2;#;历史城区的世遗建筑之一,历史建筑;420条点评
中国澳门 · 姜大声《D’s WAVE》亚巡;距市中心5.5km;#;4.2;#;演唱会;#
关闸;距市中心3.3km;#;4.1;#;古色古香有着百年历史的关闸门楼,历史建筑;194条点评
竹湾海滩;距市中心8.4km;#;4.1;#;环境优美，面海靠山,海滨沙滩;86条点评
烂鬼楼巷;距市中心1.2km;#;4.1;#;二战时曾是旧料地摊市场,城市漫步;29条点评
澳门百老汇;距市中心4.6km;#;4.1;#;承办各类宴会及颁奖典礼,遛娃宝藏地;161条点评
澳门观光塔百步登天;距市中心1.0km;#;4.2;#;体验攀登高塔的惊险滋味,蹦极;10条点评
主教山小堂;距市中心814m;#;4.0;澳门夜游必打卡景点榜 No.15;建筑典雅，钟楼高耸,夜游观景;216条点评
中国澳门 · 邓丽欣《STEP by STEPHY》演唱会;距市中心4.5km;#;4.0;#;演唱会;#
新濠影汇综艺馆;距市中心5.5km;#;3.9;#;该馆可举办演唱会、舞台剧;30条点评
DFS全球免税店;距市中心5.3km;#;3.9;#;#;1条点评
东望洋山;距市中心1.3km;#;3.9;#;山上遍种青松,登高爬山;93条点评
外港客运码头;距市中心3.5km;#;3.8;#;#;6条点评
澳门威尼斯人综艺馆;距市中心4.7km;#;3.8;#;演唱会专用馆,场馆展馆;49条点评
水世界（澳门巴黎人）;距市中心5.2km;#;3.8;#;水乐园;2条点评
南湾湖;距市中心320m;#;3.8;澳门夜游必打卡景点榜 No.8;自然山水;21条点评
NBA 澳门赛 2025;距市中心4.7km;#;3.8;#;#;#
中国澳门 · IRENE&SEULGI 2025《BALANCE》亚洲巡演;距市中心5.1km;#;3.7;#;演唱会;#
巴黎人剧场;距市中心5.2km;#;3.7;#;世界闻名国际娱乐表演,演出;81条点评
葡京娱乐场;距市中心363m;#;3.7;#;#;#
嘉乐庇总督大桥;距市中心1.9km;#;3.7;澳门夜游必打卡景点榜 No.11;澳门八景之一,地标观景;168条点评
伦敦人综艺馆;距市中心5.1km;#;3.7;#;#;5条点评
妈祖文化村;距市中心7.3km;#;3.6;#;瞻仰知名的妈祖雕像,历史建筑;120条点评
中国澳门 · B.I 2025《The Last Parade Tour》亚洲巡演;距市中心4.6km;#;3.8;#;演唱会;#
金光大道度假区;距市中心5.0km;#;3.6;澳门夜游必打卡景点榜 No.10;内部有多个大型表演场馆,度假村;163条点评
澳门海上游;距市中心3.9km;#;3.6;#;乘船游览;12条点评
卢家大屋;距市中心833m;#;3.6;#;知名商人卢华绍家族的旧居,历史建筑;190条点评
【澳门】新濠天地《天幕龙腾》表演;距市中心6.0km;#;3.6;#;结合古老传说演绎四大神兽,演出;49条点评
康公夜市;距市中心1.2km;#;3.6;#;城市漫步;12条点评
圣老楞佐堂;距市中心768m;#;3.6;#;祈求出海风顺的教堂;191条点评
中国澳门 · WATERBOMB MACAO 2025音乐节;距市中心1.3km;#;3.8;#;音乐节;#
加思栏花园;距市中心636m;#;3.5;#;参观欧战纪念馆,公园&植物园;94条点评
中国澳门 · Dear Jane 2025《Dearest》演唱会;距市中心5.1km;#;3.5;#;演唱会;#
新濠尊属系列：郭富城梦幻舞林演唱会2025;距市中心5.5km;#;3.5;#;演唱会;11条点评
Q立方王国(澳门巴黎人);距市中心5.2km;#;3.5;#;儿童乐园;21条点评
妈祖圣像;距市中心7.4km;#;3.5;#;120块汉白玉石雕刻而成,地标观景;33条点评
愤怒鸟游乐中心(澳门十六浦店);距市中心1.3km;#;3.4;#;儿童乐园;27条点评
澳门巴黎人丽舍水疗中心;距市中心5.1km;#;3.4;#;SPA/按摩;3条点评
澳门国父纪念馆;距市中心1.6km;#;3.4;#;建筑典雅庄严;81条点评
路凼历史馆;距市中心4.1km;#;3.4;#;新古典主义建筑风格,博物馆;64条点评
2025澳门马拉松;距市中心3.8km;#;3.4;#;赛事;#
路环图书馆;距市中心8.3km;#;3.4;#;设有母婴室;37条点评
澳门天后宫;距市中心7.4km;#;3.4;#;澳门大规模的庙宇之一,历史建筑;10条点评
三盏灯小吃街;距市中心1.8km;#;3.4;#;城市漫步;12条点评
澳门地堡街;距市中心4.0km;#;3.4;#;澳门著名的美食街,城市漫步;137条点评
2025 WTT冠军赛澳门站;距市中心5.9km;#;3.4;#;赛事;#
澳门永利纸料非遗手搓神香体验工作坊;距市中心1.4km;#;3.4;#;#;#
中国澳门 · YU 5th Anniversary Asia Tour -vs YU- Special Fan Meeting in MACAU;距市中心995m;#;3.4;#;演唱会;#
WX侏罗纪恐龙-冒险乐园;横琴口岸/国际会展中心·距市中心3.2km;#;3.3;#;主题乐园&游乐场;8条点评
中国澳门 · Air Supply 50周年纪念演唱会;距市中心4.6km;#;3.3;#;演唱会;#
中国澳门 · 药师寺宽邦「心歌」Kokoro Utau Tour 2025;距市中心4.6km;#;3.3;#;演唱会;#
中国澳门 · NCT 道英2025《Doors》演唱会;距市中心5.4km;#;3.4;#;演唱会;#
西望洋山;距市中心860m;#;3.3;澳门夜游必打卡景点榜 No.13;澳门的优质住宅区之一,登高爬山;56条点评
澳门福隆新街;距市中心1.0km;#;3.3;#;灰墙相映成趣,城市漫步;117条点评
政府总部;距市中心609m;#;3.3;#;葡式建筑，百年历史的人文古迹,历史建筑;30条点评
澳门可口可乐收藏博物馆;距市中心1.1km;#;3.3;#;以可口可乐为主题的展馆;9条点评
中国澳门 · 梁文音《为什么听情歌》音乐会;距市中心4.3km;#;3.3;#;演唱会;#
中国澳门 · N.Flying 2025《FULL CIRCLE》演唱会;距市中心4.6km;#;4.0;#;演唱会;#
嘉模圣母教堂;距市中心4.1km;#;3.2;#;氹仔唯一的天主教堂,公园&植物园;124条点评
澳门赛马会娱乐场;距市中心3.4km;#;3.2;#;#;5条点评
亚美打利庇卢大马路;距市中心926m;#;3.1;#;城市漫步;99条点评
玫瑰圣母广场;距市中心621m;#;3.1;#;#;14条点评
仁慈堂大樓;距市中心829m;#;3.1;#;新古典主义风格建筑,历史建筑;226条点评
中国澳门 · 《Kenny G Forever in Love with Macao》音乐会;距市中心4.6km;#;3.1;#;音乐会;#
澳门渔人码头-马可勃罗露天广场;距市中心1.6km;#;3.1;#;地标观景;21条点评
松山缆车;距市中心1.7km;#;3.1;#;缆车索道;9条点评
关前正街;距市中心1.1km;#;3.1;#;城市漫步;16条点评
观音莲花苑;距市中心936m;#;3.1;#;特色展馆;53条点评
儿童地带- 历险Q立方（澳门威尼斯人）;距市中心4.5km;#;3.1;#;儿童乐园;2条点评
中国澳门 · 朴宝剑《BE WITH YOU》粉丝见面会;距市中心5.1km;#;3.5;#;演唱会;#
政府总部;距市中心585m;#;3.0;#;历史建筑;#
友谊大桥;距市中心462m;#;3.0;#;连接澳门半岛和氹仔岛,地标观景;75条点评
表演湖;距市中心5.2km;#;2.9;#;视觉盛宴，音乐与灯光交织,地标观景;27条点评
女娲庙;距市中心990m;#;2.9;#;供奉有女娲神像,历史建筑;54条点评
唐城;距市中心1.5km;#;2.9;#;仿唐朝建筑，独特的商业区,历史建筑;11条点评
纪念孙中山市政公园;距市中心1.6km;#;2.8;#;地标观景;73条点评
银河国际会议中心;距市中心5.0km;#;2.9;#;#;#
龙环葡韵湿地生态区;距市中心4.3km;#;2.9;#;#;4条点评
中国澳门 · 《WM! GO!》华纳家族演唱会;距市中心4.5km;#;3.0;#;演唱会;#
中国澳门 · 澳洲雷霆猛男秀;距市中心4.3km;#;2.9;#;#;#
澳门四月二十五日前地;距市中心538m;#;2.9;#;城市漫步;7条点评
吉祥树、富贵龙;距市中心1.7km;#;2.9;#;夜游观景;#
亚婆井前地;距市中心846m;#;2.9;#;保留葡萄牙式建筑风格,历史建筑;143条点评
澳门林则徐纪念馆;距市中心2.6km;#;2.8;#;博物馆&展馆;89条点评
塔石广场;距市中心1.3km;#;2.8;#;地标观景;57条点评
岗顶前地;距市中心795m;#;2.8;#;建有大型剧院,历史建筑;152条点评
黑沙公园和黑沙海滩休憩区;距市中心8.1km;#;2.8;#;海滩&岛屿;1条点评
大潭山郊野公园;距市中心4.3km;#;2.8;#;公园&植物园;33条点评
澳门东亚运动会体育馆;距市中心5.9km;#;2.8;#;场馆展馆;27条点评
疯堂十号创意园;距市中心1.2km;#;2.7;#;场馆展馆;27条点评
葡国街;距市中心585m;#;2.8;#;城市漫步;3条点评
中国人民解放军驻澳门部队军事展览馆;距市中心4.3km;#;2.7;#;#;#
星际娱乐场;距市中心592m;#;2.7;#;#;#
小潭山观景台;距市中心2.6km;#;2.7;#;地标观景;#
消防博物馆;距市中心1.5km;#;2.7;#;了解澳门消防历史的演进,博物馆;63条点评
二龙喉公园;距市中心1.7km;#;2.7;#;登高爬山;144条点评
2025金沙中国澳门羽毛球公开赛‧汇丰世界羽联巡回赛;距市中心5.9km;#;2.7;#;赛事;#
皇家金堡娱乐场;距市中心1.5km;#;2.7;#;游乐场;#
亚洲巡回赛 · SJM澳门公开赛;距市中心7.8km;#;2.6;#;#;#
伯多禄五世剧院;距市中心733m;#;2.6;#;西式剧院可欣赏小型演出,演出;106条点评
Mp5 Cyber Station 網吧;距市中心2.5km;#;2.6;#;#;#
港务局;距市中心1.1km;#;2.6;#;融入阿拉伯元素的欧式建筑,历史建筑;89条点评
澳门会展中心;距市中心4.4km;#;2.6;#;规模宏大，可举办各类展会、会议、宴会的会展中心,场馆展馆;36条点评
天主教圣安多尼堂;距市中心1.4km;#;2.6;#;澳门三大古教堂之一;112条点评
利澳娱乐场;距市中心1.4km;#;2.6;#;场馆展馆;33条点评
黑沙龙爪角家乐径;距市中心8.5km;#;2.6;#;海滩&岛屿;1条点评
路环山顶公园;距市中心7.5km;#;2.6;#;主题乐园&游乐场;5条点评
何东图书馆;距市中心816m;#;2.6;#;设有可进食区域;124条点评
奥林匹克体育中心;距市中心3.6km;#;2.6;#;场馆展馆;1条点评
邮政总局;距市中心772m;#;2.6;#;澳门知名地标建筑,历史建筑;114条点评
澳门最南点;距市中心8.7km;#;2.6;#;#;1条点评
大潭山了望台;距市中心5.1km;#;2.6;#;地标观景;6条点评
《苍兰诀》VR沉浸式体验馆;距市中心5.6km;#;2.5;#;#;#
土地暨自然博物馆;距市中心6.9km;#;2.5;#;科技馆;17条点评
黑沙龙爪角家乐径;距市中心8.8km;#;2.5;#;徒步;3条点评
澳门钟表博物馆;距市中心1.1km;#;2.5;#;博物馆;2条点评
圣若瑟修院藏珍馆;距市中心774m;#;2.5;#;欣赏历史悠久的铜钟;98条点评
板樟堂街;距市中心901m;#;2.5;#;城市漫步;10条点评
澳门 SANDBOX VR 虚拟实境体验;距市中心5.1km;#;2.5;#;#;11条点评
澳门文化中心;距市中心1.3km;#;2.5;#;演出;61条点评
澳门渔人码头会议展览中心;距市中心1.5km;#;2.5;#;#;1条点评
澳门保安部队博物馆;距市中心552m;#;2.5;#;了解澳门保安部队历史,博物馆;41条点评
同善堂;距市中心585m;#;2.5;#;博物馆;11条点评
玫瑰堂圣物宝库;距市中心932m;#;2.5;#;收藏了上百多件天主教艺术珍品;81条点评
金光大道度假区体验梦工场;距市中心5.0km;#;2.5;#;特色展馆;5条点评
文化中心广场;距市中心1.2km;#;2.5;#;地标观景;2条点评
澳门伦敦人剧场;距市中心5.0km;#;2.4;#;#;#
探索神秘海域邂逅丝路遗珍展《蓝色飘带》;距市中心525m;#;2.4;#;特色展馆;#
澳门高尔夫球乡村俱乐部;距市中心7.8km;#;2.4;#;#;#
伯多禄局长街;距市中心868m;#;2.4;#;城市漫步;22条点评
哪吒古庙;距市中心956m;#;2.4;#;历史建筑;2条点评
亚马喇前地;距市中心322m;#;2.4;#;#;5条点评
同善堂历史档案陈列馆;距市中心1.0km;#;2.4;#;历史建筑;6条点评
天主教艺术博物馆与墓室;距市中心1.2km;#;2.4;#;汇集天主教艺术精品,博物馆;5条点评
塔石体育馆;距市中心1.2km;#;2.5;#;场馆展馆;9条点评
四面佛;距市中心3.4km;#;2.4;#;历史建筑;40条点评
龙环葡韵花展场地;距市中心4.1km;#;2.4;#;#;5条点评
卡梅尔花园;距市中心4.6km;#;2.4;#;园林花园;43条点评
圣奥斯定教堂;距市中心764m;#;2.4;#;使用英语布道的教堂;102条点评
澳门国际高尔夫;距市中心6.1km;#;2.4;#;#;20条点评
葉挺將軍故居;距市中心1.6km;#;#;#;历史建筑;#
恩尼斯总统前地;距市中心7.7km;#;2.3;#;园林花园;16条点评
普济禅院;距市中心2.0km;#;2.3;#;历史建筑;95条点评
《半岛师奶狂想屋》原创漫画展;距市中心1.2km;#;2.3;#;特色展馆;#
海月水母水族箱;距市中心426m;#;2.3;#;动物园&水族馆;#
留声机博物馆;距市中心1.2km;#;2.3;#;一览各式古董音响设备,博物馆;42条点评
九澳灯塔;距市中心8.1km;#;2.3;#;历史建筑;#
澳门综艺馆;距市中心1.4km;#;2.3;#;场馆展馆;1条点评
澳门名人蜡像馆;距市中心1.5km;#;2.3;#;特色展馆;40条点评
卢廉若公园;距市中心1.6km;#;2.3;#;园林花园;136条点评
《古特提斯洋精灵》贵州三叠纪海洋爬行动物展;距市中心1.4km;#;2.2;#;特色展馆;#
铁赤道—澳门重型机车藏馆;距市中心431m;#;2.3;#;欣赏不同风格的华丽机车收藏,特色展馆;6条点评
北帝庙;距市中心4.0km;#;2.2;#;历史建筑;92条点评
华都娱乐场;距市中心1.2km;#;2.2;#;#;#
《时空穿梭‧游历三巴》大三巴牌坊沉浸式数字体验展;距市中心1.2km;#;2.1;#;特色展馆;#
波士芬兰浴;距市中心631m;#;2.2;#;#;#
冒险王国;距市中心5.7km;#;2.2;#;游乐场;#
氹仔天后古庙（天后宫）;距市中心4.1km;#;2.2;#;历史建筑;#
永乐戏院;距市中心1.7km;#;2.2;#;演出;#
白鸽巢公园;距市中心1.5km;#;2.2;#;园内小山环叠、古木参天,园林花园;99条点评
西湾湖广场;距市中心853m;#;2.2;#;地标观景;3条点评
虚拟水族馆;距市中心4.9km;#;2.2;#;动物园&水族馆;3条点评
艺园;距市中心705m;#;2.2;#;公园&植物园;27条点评
望厦圣方济各堂;距市中心2.0km;#;2.2;#;#;26条点评
《诗形物影》当代艺术中的澳门诗歌展;距市中心5.2km;#;2.1;#;特色展馆;#
花地瑪聖母堂;距市中心2.8km;#;2.1;#;#;98条点评
观音堂;距市中心4.0km;#;2.1;#;历史建筑;2条点评
婆仔屋;距市中心1.2km;#;2.1;#;历史建筑;37条点评
望德圣母堂;距市中心1.2km;#;2.1;#;澳门较早的一间华人教堂;42条点评
圣母雪地殿教堂;距市中心1.3km;#;2.1;#;观赏中西化结合的古老壁画;57条点评
澳门中央图书馆;距市中心1.3km;#;2.1;#;#;7条点评
旧城墙遗址;距市中心1.2km;#;2.1;#;澳门的城墙,历史建筑;98条点评
通讯博物馆;距市中心2.2km;#;2.1;#;了解通讯媒介及技术发展,博物馆;32条点评
观音古庙;距市中心7.9km;#;2.1;#;庙堂虽小，香烟袅袅,历史建筑;72条点评
大三巴哪咤展馆;距市中心1.2km;#;2.1;#;特色展馆;1条点评
葡萄酒博物馆;距市中心1.3km;#;2.1;#;博物馆;2条点评
英皇戏院(澳门葡京人);距市中心6.1km;#;2.1;#;#;#
氹仔中央公園;距市中心3.3km;#;2.1;#;公园&植物园;14条点评
小潭山;距市中心2.9km;#;2.1;#;登高爬山;3条点评
东望洋炮台;距市中心2.3km;#;2.1;#;#;1条点评
水塘;距市中心2.3km;#;2.1;#;自然山水;49条点评
路环小型赛车场;距市中心6.3km;#;2.1;#;#;5条点评
龙腾;距市中心5.0km;#;2.1;#;华丽舞台的视听盛宴,演出;#
伦敦探索的士;距市中心6.2km;#;2.1;#;城市漫步;2条点评
海事工房1号 - 当代艺术中心;距市中心1.2km;#;2.1;#;场馆展馆;2条点评
望厦炮台;距市中心2.4km;#;2.1;#;曾是葡兵军事防御据点之一,历史建筑;86条点评
澳门博彩业历史资料馆;距市中心339m;#;2.1;#;博物馆;1条点评
凼仔海滨休憩区;距市中心2.5km;#;2.0;#;海滩&岛屿;4条点评
九澳村;距市中心7.2km;#;2.0;#;#;#
《反斗奇兵》30周年主题展;距市中心5.5km;#;2.0;#;特色展馆;#
海洋花园;距市中心3.6km;#;2.0;#;海滩&岛屿;#
俊秀巷;距市中心1.2km;#;2.0;#;城市漫步;22条点评
九澳七苦圣母小堂;距市中心7.7km;#;2.0;#;意大利建筑风格;29条点评
黑沙水库水上乐园;距市中心7.4km;#;2.0;#;水乐园;#
三圣宫;距市中心8.0km;#;2.0;#;历史建筑;#
高士德大马路;距市中心1.7km;#;2.0;#;城市漫步;9条点评
三街会馆;距市中心492m;#;2.0;#;历史建筑;97条点评
澳门文学馆;距市中心1.4km;#;2.0;#;特色展馆;1条点评
【澳门】可可瓜瓜沉浸式互动体验;距市中心5.9km;#;1.9;#;特色展馆;#
包公庙;距市中心1.3km;#;2.0;#;建于清光绪十五年,历史建筑;42条点评
民国大马路;距市中心1.0km;#;2.0;#;历史感浓厚的澳门特色马路,城市漫步;29条点评
东方基金会会址;距市中心1.5km;#;2.0;#;建于18世纪70年代,历史建筑;53条点评
黑沙环公园;距市中心2.8km;#;1.9;#;公园&植物园;2条点评
大瘋堂藝舍;距市中心1.1km;#;1.9;#;博物馆;7条点评
銀河藝萃 GalaxyArt;距市中心4.4km;#;1.9;#;#;#
澳门旅游塔户外广场;距市中心651m;#;1.9;#;地标观景;5条点评
澳门虚拟现实体验馆;距市中心1.5km;#;1.9;#;#;2条点评
花城公园;距市中心3.7km;#;1.9;#;当地人休闲放松的好去处,公园&植物园;57条点评
莲峰庙;距市中心2.6km;#;1.9;#;历史建筑;67条点评
秘密基地游戏机中心;距市中心5.1km;#;1.9;#;#;#
东方拱门;距市中心914m;#;1.9;#;地标观景;8条点评
黑沙水库郊野公园;距市中心8.2km;#;1.9;#;建有民族雕塑园,公园&植物园;21条点评
耶稣会纪念广场;距市中心1.1km;#;1.9;#;地标观景;4条点评
